== Reading cities with population >= 200000 from 'citiesList.csv' ==
== Writing cities with population >= 200000 in 'resuCities.dat' ==
NICE 343304 7.250000 43.700001
MARSEILLE 850726 5.376390 43.296700
TOULOUSE 441802 1.433330 43.599998
BORDEAUX 239157 -0.566667 44.833302
MONTPELLIER 257351 3.883330 43.599998
RENNES 207178 -1.683330 48.083302
NANTES 284970 -1.550000 47.216702
LILLE 227560 3.066670 50.633301
STRASBOURG 271782 7.750000 48.583302
LYON 484344 4.841390 45.758900
PARIS 2243833 2.344450 48.860001
Longeur du réseau = 2210.991556 km
